,month,hour,year,day,count,date,maxtemp,atemp,mintemp,maxhum,ahum,minhum,maxwind,awind,minwind,prec,day_of_week,vehicle_type,vehicle_encoded
262,1,10,2019,24,18,2019-01-24,64,45,27,89,60,27,18,6,0,0,3,bicycle,1
263,1,10,2019,25,21,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,bicycle,1
264,1,10,2019,26,22,2019-01-26,64,51,39,93,81,54,10,5,0,0,5,bicycle,1
265,1,10,2019,27,24,2019-01-27,67,51,39,100,77,23,9,3,0,1,6,bicycle,1
266,1,10,2019,28,30,2019-01-28,71,55,38,97,65,39,30,13,3,0,0,bicycle,1
267,1,10,2019,29,18,2019-01-29,49,43,37,65,43,31,24,12,0,0,1,bicycle,1
268,1,10,2019,30,14,2019-01-30,55,47,37,76,56,37,12,5,0,0,2,bicycle,1
269,1,10,2019,31,14,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,bicycle,1
270,1,11,2019,1,8,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,bicycle,1
271,1,11,2019,2,2,2019-01-02,41,38,37,97,92,79,15,10,8,1,2,bicycle,1
272,1,11,2019,3,7,2019-01-03,52,40,31,97,85,53,13,7,0,1,3,bicycle,1
273,1,11,2019,4,11,2019-01-04,67,46,30,96,66,31,10,3,0,1,4,bicycle,1
274,1,11,2019,5,17,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,bicycle,1
275,1,11,2019,6,15,2019-01-06,75,53,34,100,84,53,17,7,0,0,6,bicycle,1
276,1,11,2019,7,6,2019-01-07,76,67,58,97,82,58,14,8,3,0,0,bicycle,1
